Game Name,Genre,Gender Preference,Rating,Release Year,Size,Platform
Portal 2,Battle,Female,4.6,2011,2409MB,"PC, Xbox One, macOS, Linux, Xbox 360, PlayStation 3"
Counter-Strike: Global Offensive,Battle,Male,3.6,2012,7637MB,"PC, Linux, Xbox 360, PlayStation 3"
Left 4 Dead 2,Battle,Male,4.1,2009,7654MB,"PC, macOS, Linux, Xbox 360"
BioShock Infinite,Battle,Male,4.4,2013,25GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, Linux, Xbox 360, PlayStation 3"
Half-Life 2,Battle,Female,4.5,2004,5214MB,"PC, Android, macOS, Linux, Xbox 360, Xbox"
Borderlands 2,Battle,Both,4.0,2012,4244MB,"PC, Android, macOS, Linux, Xbox 360, PlayStation 3, PS Vita"
BioShock,Battle,Male,4.4,2007,7109MB,"PC, macOS, Xbox 360, PlayStation 3"
Destiny 2,Battle,Male,3.5,2017,41GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Web"
PAYDAY 2,Battle,Both,3.5,2013,5766MB,"PC, Xbox One, Linux"
Team Fortress 2,Battle,Both,3.7,2007,1205MB,"PC, macOS, Linux"
DOOM (2016),Battle,Male,4.4,2016,87GB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Cyberpunk 2077,Battle,Male,4.2,2020,142GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
Warframe,Battle,Both,3.4,2013,118GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS"
Metro 2033,Battle,Male,3.9,2010,3480MB,"PC, Xbox 360"
Metal Gear Solid V: The Phantom Pain,Battle,Female,4.2,2015,38GB,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
Apex Legends,Battle,Female,3.6,2019,96GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS"
BioShock 2,Battle,Female,4.1,2010,4785MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Xbox 360, PlayStation 3"
Half-Life,Battle,Both,4.4,1998,128GB,"PC, macOS, Linux, PlayStation 2, Dreamcast"
Half-Life 2: Episode One,Battle,Male,4.4,2006,75GB,"PC, Android, macOS, Linux, Xbox 360"
Half-Life 2: Episode Two,Battle,Both,4.5,2007,27GB,"PC, Android, macOS, Linux, Xbox 360"
BioShock Remastered,Battle,Male,4.2,2016,114GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS"
Hitman,Battle,Male,3.9,2016,1583MB,"PC, Xbox One, PlayStation 4, macOS, Linux"
Hotline Miami,Battle,Male,4.4,2012,7996MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, Linux, PS Vita"
PlayerUnknown’s Battlegrounds,Battle,Both,3.3,2017,11GB,"PC, Xbox One, PlayStation 4"
Far Cry 3,Battle,Both,4.2,2012,2905MB,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
Alan Wake,Battle,Female,4.1,2010,42GB,"PC, Xbox One, Xbox 360"
Spec Ops: The Line,Battle,Both,4.1,2012,41GB,"PC, Xbox One, Xbox 360, PlayStation 3"
Wolfenstein: The New Order,Battle,Male,4.2,2014,95GB,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
Prey,Battle,Female,4.3,2017,110GB,"PC, Xbox One, PlayStation 4"
Borderlands,Battle,Female,3.8,2009,7337MB,"PC, Xbox 360, PlayStation 3"
Fallout: New Vegas,Battle,Male,4.4,2010,5083MB,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
Hitman: Absolution,Battle,Female,3.8,2012,3484MB,"PC, Xbox One, PlayStation 4, macOS, Xbox 360, PlayStation 3"
